,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11,encoded_12,encoded_13,encoded_14,encoded_15,encoded_16,encoded_17,encoded_18,encoded_19,encoded_20,encoded_21,encoded_22,encoded_23,encoded_24,encoded_25,encoded_26,encoded_27,encoded_28,encoded_29,encoded_30,ccl_name
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.58861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.55891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000429
205,0.0,2.068999,35.046387,24.718933,0.0,3.4337347,3.532371,46.21205,0.0,0.0,0.0,3.7792222,0.0,14.215999,0.0,0.0,0.0,7.134533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.78315,7.1737957,43.603016,0.0,0.0,ACH-000310
206,0.0,0.0,24.394142,0.0,0.0,48.72877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.347503,0.0,31.334822,0.0,0.0,6.89697,0.0,0.0,0.0,0.0,0.0,0.0,29.514683,0.0,22.371912,0.0,0.0,ACH-002475
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.353996,0.0,0.0,13.974264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000643
208,13.918086,24.847908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21069,0.0,26.380322,0.0,0.0,29.843775,26.710787,0.0,0.0,0.0,4.5187097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000234
209,0.0,0.0,0.0,0.0,0.0,34.900055,0.0,0.0,0.0,0.0,0.0,0.0,32.136803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.29983,ACH-001498
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.543175,0.0,0.0,0.0,0.0,0.0,0.0,39.478703,0.0,19.578835,14.373538,0.0,14.548223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000896
211,0.0,31.951468,29.821335,0.0,0.0,0.0,0.0,51.54241,0.0,0.0,0.0,67.90674,0.0,10.733834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68603,0.0,88.62821,35.97765,63.88962,0.0,0.0,ACH-000203
212,16.547167,0.0,0.0,0.0,0.0,12.030251,0.0,0.0,0.0,6.3194904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.738407,32.382378,0.0,0.0,0.0,0.0,0.0,0.0,9.907088,0.0,0.0,0.0,ACH-001607
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001441
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.655922,ACH-000112
215,0.0,0.0,0.0,0.0,0.0,69.75887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.847725,ACH-000874
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.374283,0.0,0.0,0.0,0.0,0.0,0.0,43.1647,0.0,0.0,2.1163373,0.0,12.672575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000186
