"","TCGA-02-0055","TCGA-04-1332"
"AC004946.1",0,0
"AC004946.2",0,0
"AC004947.1",0,0.5
"AC004947.2",0.52,0.81
"AC004947.3",0.46,0
"AC004948.1",0,0
"AC004951.1",0.32,1.09
"AC004951.2",1.11,2.15
"AC004951.3",0.62,0.75
"AC004951.4",0.37,0.34
"AC004965.1",0,0.45
"AC004967.1",0.42,1.15
"AC004967.2",0.6,0.41
"AC004969.1",0,0.34
"AC004972.1",0,0.14
"AC004973.1",0.16,0.17
"AC004974.1",0,0.04
"AC004975.1",0.45,2.35
"AC004975.2",0.18,2.06
"AC004980.1",2.04,2.19
"AC004980.2",0.94,1.36
"AC004980.3",0,0.28
"AC004980.4",0.46,0.47
"AC004982.1",0.76,0.56
"AC004982.2",1.49,1.64
"AC004986.1",0,0.33
"AC004987.1",0,0
"AC004987.2",0,0.49
"AC004987.3",0,0
"AC004990.1",0.05,0.27
"AC004997.1",0,0.05
"AC005002.1",0,0
"AC005005.1",0.15,0
"AC005005.2",0,0.69
"AC005005.3",0.72,1.89
"AC005005.4",0,0.05
"AC005006.1",0.69,0.7
"AC005008.1",0,0
"AC005008.2",0,0
"AC005009.1",0,0.37
"AC005011.1",0,0
"AC005013.1",0.18,0.18
"AC005014.1",0.24,0.27
"AC005014.2",0.92,0.72
"AC005014.3",1.59,0
"AC005014.4",0.17,0.46
"AC005019.1",1.05,0.24
"AC005019.2",0,0
"AC005020.1",0.37,0.92
"AC005020.2",0,0
"AC005021.1",0,0
"AC005034.1",0,0
"AC005034.2",0.24,0.96
"AC005034.3",0,0
"AC005034.4",0.33,1.7
"AC005034.5",1.31,1.32
"AC005034.6",0.06,0.27
"AC005037.1",0,0
"AC005040.1",0,0
"AC005040.2",0,0
"AC005041.1",0.15,0.05
"AC005041.2",0.11,0.21
"AC005041.3",1.04,0.56
"AC005041.4",0,0.54
"AC005041.5",0.11,0.21
"AC005042.1",0,0.2
"AC005042.2",0,0
"AC005045.1",0,0
"AC005045.2",0,0
"AC005046.1",2.11,1.45
"AC005050.1",0.72,0.18
"AC005050.2",0.28,0
"AC005050.3",0.36,0
"AC005052.1",0.09,0.04
"AC005052.2",1.15,0.47
"AC005062.1",0.04,0.29
"AC005064.1",0,0
"AC005066.1",0,0
"AC005070.1",0,1.43
"AC005070.2",0.37,0.92
"AC005070.3",0.81,1.45
"AC005071.1",0.72,0.52
"AC005072.1",0,1.26
"AC005076.1",2.79,1.14
"AC005076.2",0,0.54
"AC005077.1",0,0
"AC005077.2",0.15,0
"AC005077.3",0,0
"AC005077.4",0.06,0.49
"AC005081.1",1.69,0.61
"AC005082.1",0.66,2.87
"AC005082.2",0,0
"AC005083.1",0.51,3.19
"AC005084.1",0,0
"AC005086.1",0,0
"AC005086.2",0.13,1.89
"AC005086.3",0,0.75
"AC005086.4",0,0
"AC005086.5",0.44,1.07
"AC005088.1",0,0.65
"AC005089.1",0.1,3.15
"AC005090.1",0,0
"AC005094.1",0,0
"AC005096.1",0,1.32
"AC005099.1",2.65,1.72
"AC005100.1",0,0.09
"AC005100.2",0.08,0
"AC005102.1",1.08,0
"AC005104.1",2.32,1.27
"AC005104.2",0,0
"AC005105.1",0,0
"AC005144.1",0,0
"AC005153.1",0.09,0.39
"AC005154.1",0.49,0.5
"AC005154.2",1.46,0.69
"AC005154.3",0,0
"AC005154.4",0.5,0.28
"AC005154.5",0,0
"AC005156.1",0,0.18
"AC005160.1",0.26,0.49
"AC005162.1",0,0.62
"AC005162.2",0.23,0.6
"AC005165.1",0.57,0.16
"AC005165.2",1,0
"AC005165.3",0.08,0
"AC005176.1",0,0
"AC005176.2",0,0
"AC005178.1",0,0.23
"AC005180.1",0.94,0.73
"AC005180.2",0.63,1.41
"AC005181.1",0.09,0
"AC005183.1",0,0.16
"AC005185.1",0,0
"AC005189.1",0,0.81
"AC005191.1",0,0
"AC005192.1",0,0
"AC005197.1",0.42,0.42
"AC005208.1",0,0.1
"AC005209.1",0.1,0
"AC005220.1",0.6,0.12
"AC005224.1",0.06,0
"AC005224.2",0.48,0.15
"AC005224.3",2.21,0.46
"AC005225.1",0.32,0.22
"AC005225.2",0.03,0.22
"AC005225.3",0,0
"AC005225.4",1.41,0.85
"AC005229.1",0.46,0
"AC005229.2",0.47,0.26
"AC005229.3",0,0
"AC005229.4",2.31,2.35
"AC005229.5",0.07,0.13
"AC005230.1",0,0.63
"AC005232.1",0,0.1
"AC005234.1",0,0
